"Title","Authors","Link","Year","Source title","Abstract","Author Keywords","Sponsors","Publisher","Conference name","Conference date","Conference location","Conference code","Document Type","Source"
"A model-driven software engineering workflow and tool architecture for servitised manufacturing","Ntanos E., Dimitriou G., Bekiaris V., Vassiliou C., Kalaboukas K., Askounis D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056397297&doi=10.1007%2fs10257-018-0371-5&partnerID=40&md5=b489ce9df05a0c91b8211782f7dc13a5",2018,"Information Systems and e-Business Management","Modern manufacturing businesses increasingly engage in servitisation, by offering advanced services along with physical products, and creating â€œproductâ€“service systemsâ€. Information Technology infrastructures, and especially software, are a critical part of modern service provision. However, software development in this context has not been investigated and there are no development methods or tools specifically adapted to the task of creating software for servitised businesses in general, or manufacturing in particular. In this paper, we define the requirements for software engineering in servitised manufacturing. Based on these, we describe a model-driven software engineering workflow for servitised manufacturing, supporting both structural and behavioural modelling of the service system. Furthermore, we elaborate on the architecture of an appropriate model-driven Integrated Development Environment (IDE). The proposed workflow and a prototype implementation of the IDE were evaluated in a set of industrial pilots, demonstrating improved communication and collaboration between participants in the software engineering process. Â© 2018, Springer-Verlag GmbH Germany, part of Springer Nature.","Integrated Development Environment; Manufacturing; Model driven; Product-service system; Software engineering; Tool integration",,"Springer Verlag",,,,,"Article","Scopus"
"Systematic literature review: Self-Regulated Learning strategies using e-learning tools for Computer Science","Garcia R., Falkner K., Vivian R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047006409&doi=10.1016%2fj.compedu.2018.05.006&partnerID=40&md5=6dbff6d958958389d36933c164a0272f",2018,"Computers and Education","In 1986, Barry Zimmerman and Manuel Martinez-Pons presented a taxonomy containing 14 categories on Self-Regulated Learning (SRL) strategies performed by high school students when studying. Since this study, researchers have used the taxonomy as a framework for their research on studentsâ€™ SRL strategies and behaviours. When the taxonomy was constructed in the mid-1980s, these categories did not consider studentsâ€™ SRL behaviours while using digital technologies to study. The goals of this systematic literature review are to understand if the original SRL strategies are addressed in modern Computer Science e-learning tools and to determine if tools have emerged that support SRL strategies not captured by the original taxonomy. This review organises the e-learning tools within the SRL categories. It shows that a preponderance of research has been done on certain SRL skills, with limited focus on other categories. The systematic literature review concludes with suggestions for future research opportunities pertaining to tools that support the original categories, as well as tools that support SRL strategies. Â© 2018","e-learning Tools; Metacognitive Skills; Self-Regulated Learning",,"Elsevier Ltd",,,,,"Article","Scopus"
"Understanding semi-structured merge conflict characteristics in open-source Java projects","Accioly P., Borba P., Cavalcanti G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038628515&doi=10.1007%2fs10664-017-9586-1&partnerID=40&md5=0ff6c8798c2b0b941587337bc37fa534",2018,"Empirical Software Engineering","Empirical studies show that merge conflicts frequently occur, impairing developersâ€™ productivity, since merging conflicting contributions might be a demanding and tedious task. However, the structure of changes that lead to conflicts has not been studied yet. Understanding the underlying structure of conflicts, and the involved syntactic language elements might shed light on how to better avoid merge conflicts. To this end, in this paper we derive a catalog of conflict patterns expressed in terms of the structure of code changes that lead to merge conflicts. We focus on conflicts reported by a semistructured merge tool that exploits knowledge about the underlying syntax of the artifacts. This way, we avoid analyzing a large number of spurious conflicts often reported by typical line based merge tools. To assess the occurrence of such patterns in different systems, we conduct an empirical study reproducing 70,047 merges from 123 GitHub Java projects. Our results show that most semistructured merge conflicts in our sample happen because developers independently edit the same or consecutive lines of the same method. However, the probability of creating a merge conflict is approximately the same when editing methods, class fields, and modifier lists. Furthermore, we noticed that most part of conflicting merge scenarios, and merge conflicts, involve more than two developers. Also, that copying and pasting pieces of code, or even entire files, across different repositories is a common practice and cause of conflicts. Finally, we discuss how our results reveal the need for new research studies and suggest potential improvements to tools supporting collaborative software development. Â© 2017, Springer Science+Business Media, LLC, part of Springer Nature.","Awareness tools; Collaborative software development; Empirical software engineering; Merge conflicts",,"Springer New York LLC",,,,,"Article","Scopus"
"A novel Big Data analytics and intelligent technique to predict driver's intent","Birek L., Grzywaczewski A., Iqbal R., Doctor F., Chang V.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044955737&doi=10.1016%2fj.compind.2018.03.025&partnerID=40&md5=9589fd865f96ffa32ea0f872e8c9386c",2018,"Computers in Industry","Modern age offers a great potential for automatically predicting the driver's intent through the increasing miniaturization of computing technologies, rapid advancements in communication technologies and continuous connectivity of heterogeneous smart objects. Inside the cabin and engine of modern cars, dedicated computer systems need to possess the ability to exploit the wealth of information generated by heterogeneous data sources with different contextual and conceptual representations. Processing and utilizing this diverse and voluminous data, involves many challenges concerning the design of the computational technique used to perform this task. In this paper, we investigate the various data sources available in the car and the surrounding environment, which can be utilized as inputs in order to predict driver's intent and behavior. As part of investigating these potential data sources, we conducted experiments on e-calendars for a large number of employees, and have reviewed a number of available geo referencing systems. Through the results of a statistical analysis and by computing location recognition accuracy results, we explored in detail the potential utilization of calendar location data to detect the driver's intentions. In order to exploit the numerous diverse data inputs available in modern vehicles, we investigate the suitability of different Computational Intelligence (CI) techniques, and propose a novel fuzzy computational modelling methodology. Finally, we outline the impact of applying advanced CI and Big Data analytics techniques in modern vehicles on the driver and society in general, and discuss ethical and legal issues arising from the deployment of intelligent self-learning cars. Â© 2018 Elsevier B.V.","Big Data; Big Data analytics; Computational intelligence; Driver's intent prediction; E-calendar; Geo referencing",,"Elsevier B.V.",,,,,"Article","Scopus"
"VPL-based big data analysis system: UDAS","Choi H., Gim J., Seo Y.-D., Baik D.-K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050407551&doi=10.1109%2fACCESS.2018.2857845&partnerID=40&md5=32172d17bd548b9b198a4966cfd681c6",2018,"IEEE Access","Over the past five years, research on big data analysis has been actively conducted, and many services have been developed to find valuable data. However, low quality of raw data and data loss problem during data analysis make it difficult to perform accurate data analysis. With the enormous generation of both unstructured and structured data, refinement of data is becoming increasingly difficult. As a result, data refinement plays an important role in data analysis. In addition, as part of efforts to ensure research reproducibility, the importance of reuse of researcher data and research methods is increasing; however, the research on systems supporting such roles has not been conducted sufficiently. Therefore, in this paper, we propose a big data analysis system named the unified data analytics suite (UDAS) that focuses on data refinement. UDAS performs data refinement based on the big data platform and ensures the reusability and reproducibility of refinement and analysis through the visual programming language interface. It also recommends open source and visualization libraries to users for statistical analysis. The qualitative evaluation of UDAS using the functional evaluation factor of the big data analysis platform demonstrated that the average satisfaction of the users is significantly high. Â© 2013 IEEE.","Clouds; Data analysis; Data refinement; Data visualization; R; Reproducibility of results",,"Institute of Electrical and Electronics Engineers Inc.",,,,,"Article","Scopus"
"Quick fixing ATL transformations with speculative analysis","Cuadrado J.S., Guerra E., de Lara J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976467674&doi=10.1007%2fs10270-016-0541-1&partnerID=40&md5=e2a6e32c847b9ee81d2cc8c00dbcdde1",2018,"Software and Systems Modeling","Model transformations are central components of most model-based software projects. While ensuring their correctness is vital to guarantee the quality of the solution, current transformation tools provide limited support to statically detect and fix errors. In this way, the identification of errors and their correction are nowadays mostly manual activities which incur in high costs. The aim of this work is to improve this situation. Recently, we developed a static analyser that combines program analysis and constraint solving to identify errors in ATL model transformations. In this paper, we present a novel method and system that uses our analyser to propose suitable quick fixes for ATL transformation errors, notably some non-trivial, transformation-specific ones. Our approach supports speculative analysis to help developers select the most appropriate fix by creating a dynamic ranking of fixes, reporting on the consequences of applying a quick fix, and providing a pre-visualization of each quick fix application. The approach integrates seamlessly with the ATL editor. Moreover, we provide an evaluation based on existing faulty transformations built by a third party, and on automatically generated transformation mutants, which are then corrected with the quick fixes of our catalogue. Â© 2016, Springer-Verlag Berlin Heidelberg.","ATL; Model transformation; Quick fixes; Speculative analysis; Transformation static analysis",,"Springer Verlag",,,,,"Article","Scopus"
"Collaboration framework for software development based on question and answer sites","Kao C.H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050270181&doi=10.1109%2fICASI.2018.8394595&partnerID=40&md5=02a368429a64734a800bdea6e7d4c355",2018,"Proceedings of 4th IEEE International Conference on Applied System Innovation 2018, ICASI 2018","Recently, question and answer sites (Q&A sites) have become a popular and useful resource for software developers to learn and share their knowledge in order to support the complex software development and maintenance tasks. Through the contributions all around the world, Q&A sites accumulate a large amount of valuable information (e.g., experience, suggestions, solutions, explanations, code snippets, and so on) and can be used as associated resources for software development and maintenance nowadays. In order to improve the management of information on Q&A sites for software development and maintenance tasks, a collaboration framework for software development based on Q&A sites is proposed in this paper. Through the collaboration framework, the valuable information on Q&A sites can be managed and leveraged efficiently in order to facilitate the development and maintenance tasks in complex software systems. Â© 2018 IEEE.","Collaboration Framework; Question and Answer Site; Software Development",,"Institute of Electrical and Electronics Engineers Inc.","4th IEEE International Conference on Applied System Innovation, ICASI 2018","13 April 2018 through 17 April 2018",,137425,"Conference Paper","Scopus"
"JIT feedback: What experienced developers like about static analysis","Tymchuk Y., Ghafari M., Nierstrasz O.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051624373&doi=10.1145%2f3196321.3196327&partnerID=40&md5=545e2abaad204272f155c0b822d46859",2018,"Proceedings - International Conference on Software Engineering","Although software developers are usually reluctant to use static analysis to detect issues in their source code, our automatic just-in-time static analysis assistant was integrated into an Integrated Development Environment, and was evaluated positively by its users. We conducted interviews to understand the impact of the tool on experienced developers, and how it performs in comparison with other static analyzers. We learned that the availability of our tool as a default IDE feature and its automatic execution are the main reasons for its adoption. Moreover, the fact that immediate feedback is provided directly in the related development context is essential to keeping developers satisfied, although in certain cases feedback delivered later was deemed more useful. We also discovered that static analyzers can play an educational role, especially in combination with domain-specific rules. Â© 2018 ACM.","just-in-time feedback; software quality; static analysis","ACM Special Interest Group on Software Engineering (SIGSOFT);IEEE Computer Society;IEEE Technical Council on Software Engineering (TCSE)","IEEE Computer Society","ACM/IEEE 26th International Conference on Program Comprehension, ICPC 2018, collocated with the 40th International Conference on Software Engineering, ICSE 2018","27 May 2018 through 28 May 2018",,138316,"Conference Paper","Scopus"
"Un-break my build: Assisting developers with build repair hints","Vassallo C., Proksch S., Zemp T., Gall H.C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051634711&doi=10.1145%2f3196321.3196350&partnerID=40&md5=31292666684a91d925237ee65066d611",2018,"Proceedings - International Conference on Software Engineering","Continuous integration is an agile software development practice. Instead of integrating features right before a release, they are constantly being integrated in an automated build process. This shortens the release cycle, improves software quality, and reduces time to market. However, the whole process will come to a halt when a commit breaks the build, which can happen for several reasons, e.g., compilation errors or test failures, and fixing the build suddenly becomes a top priority. Developers not only have to find the cause of the build break and fix it, but they have to be quick in all of it to avoid a delay for others. Unfortunately, these steps require deep knowledge and are often time consuming. To support developers in fixing a build break, we propose Bart, a tool that summarizes the reasons of the build failure and suggests possible solutions found on the Internet. We will show in a case study with eight participants that developersfind Bart useful to understand build breaks and that using Bart substantially reduces the time to fix a build break, on average by 41%. Â© 2018 ACM.","agile software development; build break; error recovery; software development tools; software engineering; summarization","ACM Special Interest Group on Software Engineering (SIGSOFT);IEEE Computer Society;IEEE Technical Council on Software Engineering (TCSE)","IEEE Computer Society","ACM/IEEE 26th International Conference on Program Comprehension, ICPC 2018, collocated with the 40th International Conference on Software Engineering, ICSE 2018","27 May 2018 through 28 May 2018",,138316,"Conference Paper","Scopus"
"Recommending frequently encountered bugs","Zhang Y., Lo D., Xia X., Jiang J., Sun J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051668877&doi=10.1145%2f3196321.3196348&partnerID=40&md5=445e9162c31b9192164cda525ee99724",2018,"Proceedings - International Conference on Software Engineering","Developers introduce bugs during software development which reduce software reliability. Many of these bugs are commonly occurring and have been experienced by many other developers. Informing developers, especially novice ones, about commonly occurring bugs in a domain of interest (e.g., Java), can help developers comprehend program and avoid similar bugs in the future. Unfortunately, information about commonly occurring bugs are not readily available. To address this need, we propose a novel approach named RFEB which recommends frequently encountered bugs (FEBugs) that may affect many other developers. RFEB analyzes Stack Overflow which is the largest software engineering-specific Q&amp;A communities. Among the plenty of questions posted in Stack Overflow, many of them provide the descriptions and solutions of different kinds of bugs. Unfortunately, the search engine that comes with Stack Overflow is not able to identify FEBugs well. To address the limitation of the search engine of Stack Overflow, we propose RFEB which is an integrated and iterative approach that considers both relevance and popularity of Stack Overflow questions to identify FEBugs. To evaluate the performance of RFEB, we perform experiments on a dataset from Stack Overflow which contains more than ten million posts. We compared our model with Stack Overflow's search engine on 10 domains, and the experiment results show that RFEB achieves the average NDCG10 score of 0.96, which improves Stack Overflow's search engine by 20%. Â© 2018 ACM.",,"ACM Special Interest Group on Software Engineering (SIGSOFT);IEEE Computer Society;IEEE Technical Council on Software Engineering (TCSE)","IEEE Computer Society","ACM/IEEE 26th International Conference on Program Comprehension, ICPC 2018, collocated with the 40th International Conference on Software Engineering, ICSE 2018","27 May 2018 through 28 May 2018",,138316,"Conference Paper","Scopus"
"Codecatch: Extracting source code snippets from online sources","Diamantopoulos T., Karagiannopoulos G., Symeonidis A.L.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051190077&doi=10.1145%2f3194104.3194107&partnerID=40&md5=df9280d6c020cf133474d331d09f0cee",2018,"Proceedings - International Conference on Software Engineering","Nowadays, developers rely on online sources to find example snippets that address the programming problems they are trying to solve. However, contemporary API usage mining methods are not suitable for locating easily reusable snippets, as they provide usage examples for specific APIs, thus requiring the developer to know which library to use beforehand. On the other hand, the approaches that retrieve snippets from online sources usually output a list of examples, without aiding the developer to distinguish among different implementations and without offering any insight on the quality and the reusability of the proposed snippets. In this work, we present CodeCatch, a system that receives queries in natural language and extracts snippets from multiple online sources. The snippets are assessed both for their quality and for their usefulness/preference by the developers, while they are also clustered according to their API calls to allow the developer to select among the different implementations. Preliminary evaluation of CodeCatch in a set of indicative programming problems indicates that it can be a useful tool for the developer. Â© 2018 ACM.","API usage mining; code reuse; snippet mining","ACM SIGSOFT;IEEE Computer Society;IEEE Technical Council on Software Engineering (TCSE)","IEEE Computer Society","6th ACM/IEEE International Workshop on Realizing Artificial Intelligence Synergies in Software Engineering, RAISE 2018, co-located with the 40th International Conference on Software Engineering, ICSE 2018","27 May 2018",,137725,"Conference Paper","Scopus"
"Analyzing conflict predictors in open-source Java projects","Accioly P., Borba P., Silva L., Cavalcanti G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051679908&doi=10.1145%2f3196398.3196437&partnerID=40&md5=539e62e957d1c50ce96cbd29340d26e3",2018,"Proceedings - International Conference on Software Engineering","In collaborative development environments integration conflicts occur frequently. To alleviate this problem, different awareness tools have been proposed to alert developers about potential conflicts before they become too complex. However, there is not much empirical evidence supporting the strategies used by these tools. Learning about what types of changes most likely lead to conflicts might help to derive more appropriate requirements for early conflict detection, and suggest improvements to existing conflict detection tools. To bring such evidence, in this paper we analyze the effectiveness of two types of code changes as conflict predictors. Namely, editions to the same method, and editions to directly dependent methods. We conduct an empirical study analyzing part of the development history of 45 Java projects from GitHub and Travis CI, including 5,647 merge scenarios, to compute the precision and recall for the conflict predictors aforementioned. Our results indicate that the predictors combined have a precision of 57.99% and a recall of 82.67%. Moreover, we conduct a manual analysis which provides insights about strategies that could further increase the precision and the recall. Â© 2018 ACM.","awareness tools; collaborative development; conflict predictors; precision and recall","ACM Special Interest Group on Software Engineering (SIGSOFT);IEEE Computer Society;IEEE Technical Council on Software Engineering (TCSE)","IEEE Computer Society","15th ACM/IEEE International Conference on Mining Software Repositories, MSR 2018, co-located with the 40th International Conference on Software Engineering, ICSE 2018","28 May 2018 through 29 May 2018",,138320,"Conference Paper","Scopus"
"SOTorrent: Reconstructing and analyzing the evolution of stack overflow posts","Baltes S., Dumani L., Treude C., Diehl S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051650034&doi=10.1145%2f3196398.3196430&partnerID=40&md5=441ea8a9a3e42d06d6e83604bc40ff28",2018,"Proceedings - International Conference on Software Engineering","Stack Overflow (SO) is the most popular question-and-answer website for software developers, providing a large amount of code snippets and free-form text on a wide variety of topics. Like other software artifacts, questions and answers on SO evolve over time, for example when bugs in code snippets are fixed, code is updated to work with a more recent library version, or text surrounding a code snippet is edited for clarity. To be able to analyze how content on SO evolves, we built SOTorrent, an open dataset based on the official SO data dump. SOTorrent provides access to the version history of SO content at the level of whole posts and individual text or code blocks. It connects SO posts to other platforms by aggregating URLs from text blocks and by collecting references from GitHub files to SO posts. In this paper, we describe how we built SOTorrent, and in particular how we evaluated 134 different string similarity metrics regarding their applicability for reconstructing the version history of text and code blocks. Based on a first analysis using the dataset, we present insights into the evolution of SO posts, e.g., that post edits are usually small, happen soon after the initial creation of the post, and that code is rarely changed without also updating the surrounding text. Further, our analysis revealed a close relationship between post edits and comments. Our vision is that researchers will use SOTorrent to investigate and understand the evolution of SO posts and their relation to other platforms such as GitHub. Â© 2018 ACM.","code snippets; open dataset; software evolution; stack overflow","ACM Special Interest Group on Software Engineering (SIGSOFT);IEEE Computer Society;IEEE Technical Council on Software Engineering (TCSE)","IEEE Computer Society","15th ACM/IEEE International Conference on Mining Software Repositories, MSR 2018, co-located with the 40th International Conference on Software Engineering, ICSE 2018","28 May 2018 through 29 May 2018",,138320,"Conference Paper","Scopus"
"Exploring the use of automated API migrating techniques in practice: An experience report on Android","Lamothe M., Shang W.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051621669&doi=10.1145%2f3196398.3196420&partnerID=40&md5=b27cf3f8c8d15f3165af077b3583442f",2018,"Proceedings - International Conference on Software Engineering","In recent years, open source software libraries have allowed developers to build robust applications by consuming freely available application program interfaces (API). However, when these APIs evolve, consumers are left with the difficult task of migration. Studies on API migration often assume that software documentation lacks explicit information for migration guidance and is impractical for API consumers. Past research has shown that it is possible to present migration suggestions based on historical code-change information. On the other hand, research approaches with optimistic views of documentation have also observed positive results. Yet, the assumptions made by prior approaches have not been evaluated on large scale practical systems, leading to a need to affirm their validity. This paper reports our recent practical experience migrating the use of Android APIs in FDroid apps when leveraging approaches based on documentation and historical code changes. Our experiences suggest that migration through historical codechanges presents various challenges and that API documentation is undervalued. In particular, the majority of migrations from removed or deprecated Android APIs to newly added APIs can be suggested by a simple keyword search in the documentation. More importantly, during our practice, we experienced that the challenges of API migration lie beyond migration suggestions, in aspects such as coping with parameter type changes in new API. Future research may aim to design automated approaches to address the challenges that are documented in this experience report. Â© 2018 ACM.","Android API; API migration; mining software repositories; software evolution","ACM Special Interest Group on Software Engineering (SIGSOFT);IEEE Computer Society;IEEE Technical Council on Software Engineering (TCSE)","IEEE Computer Society","15th ACM/IEEE International Conference on Mining Software Repositories, MSR 2018, co-located with the 40th International Conference on Software Engineering, ICSE 2018","28 May 2018 through 29 May 2018",,138320,"Conference Paper","Scopus"
"Improving integrated development environment commands knowledge with recommender systems","Gasparic M., Gurbanov T., Ricci F.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049791809&doi=10.1145%2f3183377.3183386&partnerID=40&md5=4a0f06a23f011b6cce14810009914ef1",2018,"Proceedings - International Conference on Software Engineering","Development tools have an impact on software engineers' productivity and quality of software construction. We believe that it is crucial to teach future software engineers how to exploit integrated development environment functionality, if we want to encourage the effective application of software development principles and practices. Our research shows that recommender systems can be deployed to improve integrated development environment knowledge of computer science students by automatically suggesting new and useful commands, such as buttons and shortcuts that execute different functions. While previous work focused on optimizing the algorithmic predictive capability of a recommender to identify the commands that the users will eventually use, we have addressed a set of research questions related to the overall acceptance of a complete recommender system in a real-life setting. The evaluation results show that a command recommender system can be well accepted by computer science students. In particular, when students are supported by such a system, they use a considerably larger set of commands available in their development environment. Moreover, the results show that the highest acceptance rate and the usefulness score were achieved by a non-personalized, popularity-based algorithm, while the most novel commands were suggested by a context-aware algorithm. Â© 2018 Association for Computing Machinery.",,"ACM Special Interest Group on Software Engineering (SIGSOFT);Computer Society (IEEE-CS)","IEEE Computer Society","40th ACM/IEEE International Conference on Software Engineering: Software Engineering Education and Training, ICSE-SEET 2018","30 May 2018 through 1 June 2018",,137346,"Conference Paper","Scopus"
"SATD detector: A text-mining-based self-Admitted technical debt detection tool","Liu Z., Huang Q., Xia X., Shihab E., Lo D., Li S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049683556&doi=10.1145%2f3183440.3183478&partnerID=40&md5=fc9b4f29011dee78dffc65dcb86362ba",2018,"Proceedings - International Conference on Software Engineering","In software projects, technical debt metaphor is used to describe the situation where developers and managers have to accept compromises in long-Term software quality to achieve short-Term goals. There are many types of technical debt, and self-Admitted technical debt (SATD) was proposed recently to consider debt that is introduced intentionally (e.g., through temporaryfi x) and admitted by developers themselves. Previous work has shown that SATD can be successfully detected using source code comments. However, most current state-of-The-Art approaches identify SATD comments through pattern matching, which achieve high precision but very low recall. That means they may miss many SATD comments and are not practical enough. In this paper, we propose SATD Detector, a tool that is able to (i) automatically detect SATD comments using text mining and (ii) highlight, list and manage detected comments in an integrated development environment (IDE). This tool consists of a Java library and an Eclipse plug-in. The Java library is the back-end, which provides command-line interfaces and Java APIs to re-Train the text mining model using users' data and automatically detect SATD comments using either the build-in model or a user-specified model. The Eclipse plug-in, which is the front-end, first leverages our pre-Trained composite classifier to detect SATD comments, and then highlights and marks these detected comments in the source code editor of Eclipse. In addition, the Eclipse plug-in provides a view in IDE which collects all detected comments for management. Demo URL: https://youtu.be/sn4gU2qhGm0 Java library download: https://git.io/vNdnY Eclipse plug-in download: https://goo.gl/ZzjBzp. Â© 2018 Authors.","Eclipse plug-in; SATD detection; Self-Admitted technical debt","ACM Special Interest Group on Software Engineering (SIGSOFT);Computer Society (IEEE-CS)","IEEE Computer Society","40th ACM/IEEE International Conference on Software Engineering, ICSE 2018","27 May 2018 through 3 June 2018",,137351,"Conference Paper","Scopus"
"Deep code search","Gu X., Zhang H., Kim S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049401158&doi=10.1145%2f3180155.3180167&partnerID=40&md5=e19ad8fd713785c50346e6142aa159c4",2018,"Proceedings - International Conference on Software Engineering","To implement a program functionality, developers can reuse previously written code snippets by searching through a large-scale codebase. Over the years, many code search tools have been proposed to help developers. The existing approaches often treat source code as textual documents and utilize information retrieval models to retrieve relevant code snippets that match a given query. These approaches mainly rely on the textual similarity between source code and natural language query. They lack a deep understanding of the semantics of queries and source code. In this paper, we propose a novel deep neural network named CODEnn (Code-Description Embedding Neural Network). Instead of matching text similarity, CODEnn jointly embeds code snippets and natural language descriptions into a high-dimensional vector space, in such a way that code snippet and its corresponding description have similar vectors. Using the unified vector representation, code snippets related to a natural language query can be retrieved according to their vectors. Semantically related words can also be recognized and irrelevant/noisy keywords in queries can be handled. As a proof-of-concept application, we implement a code search tool named DeepCS using the proposed CODEnn model. We empirically evaluate DeepCS on a large scale codebase collected from GitHub. The experimental results show that our approach can effectively retrieve relevant code snippets and outperforms previous techniques. Â© 2018 ACM.","Code search; Deep learning; Joint embedding",,"IEEE Computer Society","40th International Conference on Software Engineering, ICSE 2018","27 May 2018 through 3 June 2018",,137142,"Conference Paper","Scopus"
"A framework for semi-automated co-evolution of security knowledge and system models","BÃ¼rger J., StrÃ¼ber D., GÃ¤rtner S., Ruhroth T., JÃ¼rjens J., Schneider K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043281006&doi=10.1016%2fj.jss.2018.02.003&partnerID=40&md5=a6ec4e3a1775b0421f6aa02a243f64b0",2018,"Journal of Systems and Software","Security is an important and challenging quality aspect of software-intensive systems, becoming even more demanding regarding long-living systems. Novel attacks and changing laws lead to security issues that did not necessarily rise from a flawed initial design, but also when the system fails to keep up with a changing environment. Thus, security requires maintenance throughout the operation phase. Ongoing adaptations in response to changed security knowledge are inevitable. A necessary prerequisite for such adaptations is a good understanding of the security-relevant parts of the system and the security knowledge. We present a model-based framework for supporting the maintenance of security during the long-term evolution of a software system. It uses ontologies to manage the system-specific and the security knowledge. With model queries, graph transformation and differencing techniques, knowledge changes are analyzed and the system model is adapted. We introduce the novel concept of Security Maintenance Rules to couple the evolution of security knowledge with co-evolutions of the system model. As evaluation, community knowledge about vulnerabilities is used (Common Weakness Enumeration database). We show the applicability of the framework to the iTrust system from the medical care domain and hence show the benefits of supporting co-evolution for maintaining secure systems. Â© 2018 Elsevier Inc.","Co-evolution; Security impact analysis; Security requirements; Software design; Software evolution",,"Elsevier Inc.",,,,,"Article","Scopus"
"Estimating functional connectivity symmetry between oxy- and deoxy-haemoglobin: Implications for fNIRS connectivity analysis","Montero-Hernandez S., Orihuela-Espina F., Sucar L.E., Pinti P., Hamilton A., Burgess P., Tachtsidis I.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046808290&doi=10.3390%2fa11050070&partnerID=40&md5=c2b52dc96329a44cd1e5c6ddf3d03fd0",2018,"Algorithms","Functional Near InfraRed Spectroscopy (fNIRS) connectivity analysis is often performed using the measured oxy-haemoglobin (HbO2) signal, while the deoxy-haemoglobin (HHb) is largely ignored. The in-common information of the connectivity networks of both HbO2 and HHb is not regularly reported, or worse, assumed to be similar. Here we describe a methodology that allows the estimation of the symmetry between the functional connectivity (FC) networks of HbO2 and HHb and propose a differential symmetry index (DSI) indicative of the in-common physiological information. Our hypothesis is that the symmetry between FC networks associated with HbO2 and HHb is above what should be expected from random networks. FC analysis was done in fNIRS data collected from six freely-moving healthy volunteers over 16 locations on the prefrontal cortex during a real-world task in an out-of-the-lab environment. In addition, systemic data including breathing rate (BR) and heart rate (HR) were also synchronously collected and used within the FC analysis. FC networks for HbO2 and HHb were established independently using a Bayesian networks analysis. The DSI between both haemoglobin (Hb) networks with and without systemic influence was calculated. The relationship between the symmetry of HbO2 and HHb networks, including the segregational and integrational characteristics of the networks (modularity and global efficiency respectively) were further described. Consideration of systemic information increases the path lengths of the connectivity networks by 3%. Sparse networks exhibited higher asymmetry than dense networks. Importantly, our experimental connectivity networks symmetry between HbO2 and HHb departs from random (t-test: t(509) = 26.39, p &lt; 0.0001). The DSI distribution suggests a threshold of 0.2 to decide whether both HbO2 and HHb FC networks ought to be studied. For sparse FC networks, analysis of both haemoglobin species is strongly recommended. Our DSI can provide a quantifiable guideline for deciding whether to proceed with single or both Hb networks in FC analysis. Â© 2018 by the authors.","fNIRS; Functional connectivity; Prefrontal cortex; Symmetry",,"MDPI AG",,,,,"Article","Scopus"
"Doppio: Tracking UI flows and code changes for app development","Chi P.-Y., Hu S.-P., Li Y.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046933574&doi=10.1145%2f3173574.3174029&partnerID=40&md5=6eab8da51464030181ec1111f4db713d",2018,"Conference on Human Factors in Computing Systems - Proceedings","Developing interactive systems often involves a large set of callback functions for handling user interaction, which makes it challenging to manage UI behaviors, create descriptive documentation, and track code revisions. We developed Doppio, a tool that automatically tracks and visualizes UI flows and their changes based on source code. For each input event listener of a widget, e.g., onClick of an Android View class, Doppio captures and associates its UI output from a program execution with its code snippet from the codebase. It automatically generates a screenflow diagram organized by the callback methods and interaction flow, where developers can review the code and UI revisions interactively. Doppio, as an IDE plugin, is seamlessly integrated into a common development workflow. Our studies show that our tool is able to generate quality visual documentation and helped participants understand unfamiliar source code and track changes. Â© 2018 Copyright is held by the owner/author(s).","Android; Demonstrations; IDEs; Mobile apps; Screencast videos; Screenflow diagram; Software documentation","ACM SIGCHI","Association for Computing Machinery","2018 CHI Conference on Human Factors in Computing Systems, CHI 2018","21 April 2018 through 26 April 2018",,135975,"Conference Paper","Scopus"
